,,accuracy,precision,recall,f1,auc
DenseNet,0,0.8227848101265823,0.7708333333333334,0.925,0.840909090909091,0.9044871794871795
EfficientNet,0,0.8734177215189873,1.0,0.75,0.8571428571428571,0.9782051282051283
